trip_id,pickup_datetime,pickup_zone,vehicle_type,passenger_count,trip_distance_km,trip_duration_min,payment_method,fare_amount
TRP103884,2024-08-14 00:08:34,Suburb,SUV,3,4.25,10.3,Cash,265.88
TRP110195,2025-03-23 01:41:05,Business District,Mini,1,2.74,12.9,Card,153.71
TRP105034,2024-10-26 13:02:19,Residential,Mini,1,4.3,12.4,Cash,110.97
TRP102638,2025-04-10 06:30:44,Residential,Sedan,3,2.67,7.2,UPI,113.5
TRP109202,2025-01-17 03:46:57,Business District,Auto,1,8.18,28.6,Cash,149.64
TRP100850,2025-06-19 02:31:57,Business District,Mini,1,2.31,10.1,Card,133.51
TRP109049,2025-04-03 14:32:23,Railway Station,Auto,2,7.99,18.6,Cash,124.84
TRP103870,2024-02-26 03:03:39,Railway Station,Auto,1,3.92,15.2,Wallet,115.24
TRP111708,2024-10-07 11:46:03,Suburb,SUV,3,3.31,16.3,UPI,268.58
TRP104785,2024-06-16 03:33:34,Residential,Auto,1,1.51,5.9,Cash,134.67
TRP108459,2025-02-03 20:18:02,Suburb,SUV,3,3.13,20.6,UPI,227.74
TRP105805,2024-09-20 06:47:31,Business District,Mini,1,3.52,12.7,Cash,137.48
TRP103660,2024-09-12 16:52:20,Business District,Sedan,1,3.69,10.5,Wallet,176.61
TRP106685,2025-01-16 12:15:32,Residential,Sedan,2,3.01,4.1,Card,112.44
TRP103524,2024-04-25 15:03:44,Business District,Sedan,3,5.41,21.7,Card,184.84
TRP100533,2024-06-04 10:58:19,Airport,Mini,1,1.94,12.3,UPI,164.29
TRP106248,2024-04-15 09:10:14,Business District,Mini,3,5.64,28.3,Cash,178.81
TRP110249,2025-03-02 06:51:51,Railway Station,Sedan,4,6.84,15.9,Cash,167.64
TRP105118,2024-12-03 05:56:26,Residential,Sedan,1,3.81,10.2,UPI,205.66
TRP109414,2025-03-09 07:02:34,Suburb,SUV,2,6.2,25.0,Cash,252.07
TRP110646,2024-11-24 20:12:34,Residential,Auto,4,4.12,23.9,Cash,91.28
TRP103421,2024-11-23 22:49:33,Mall,SUV,1,4.71,18.3,UPI,333.16
TRP111817,2024-10-29 02:33:11,Airport,Sedan,1,5.35,25.2,UPI,274.12
TRP105692,2024-02-05 01:23:34,Suburb,Sedan,1,8.68,25.8,Cash,279.75
TRP104952,2024-04-15 09:24:07,Mall,Sedan,1,2.42,12.7,UPI,183.64
TRP107942,2024-04-17 13:13:25,Residential,Auto,1,2.77,10.9,UPI,79.09
TRP105152,2025-04-13 23:53:37,Business District,Sedan,4,4.34,15.1,Card,229.83
TRP102692,2024-08-20 00:55:47,Business District,SUV,2,3.43,10.4,Cash,211.61
TRP111265,2024-10-07 03:36:46,Suburb,SUV,1,4.1,9.7,Wallet,213.88
TRP103954,2025-05-29 15:24:58,Residential,Sedan,2,3.6,12.1,Cash,119.77
TRP108025,2024-05-18 05:49:11,Railway Station,Sedan,2,7.6,24.3,UPI,233.73
TRP108825,2025-06-05 10:29:28,Suburb,Auto,3,10.25,47.0,Cash,201.44
TRP105822,2024-10-18 05:30:32,Mall,Auto,2,3.01,10.3,Card,131.12
TRP101175,2024-07-04 00:21:51,Railway Station,Mini,1,1.91,8.9,UPI,122.49
TRP104257,2024-05-03 08:52:30,Business District,Sedan,2,3.4,21.7,UPI,177.45
TRP106508,2025-03-14 23:37:52,Railway Station,SUV,1,5.94,26.5,Card,285.91
TRP109368,2024-09-04 09:11:17,Residential,Auto,4,3.57,20.1,Wallet,86.25
TRP104414,2024-03-26 08:02:29,Mall,Sedan,1,0.7,10.3,UPI,130.36
TRP106119,2025-03-14 02:09:16,Suburb,Sedan,1,4.54,11.6,Cash,180.76
TRP110874,2024-03-11 12:34:03,Residential,Sedan,1,12.58,27.7,UPI,271.47
TRP106128,2024-08-31 12:47:58,Railway Station,Sedan,1,6.96,18.5,UPI,207.22
TRP100749,2024-03-27 01:20:34,Residential,Auto,1,4.44,16.5,Wallet,111.16
TRP110133,2024-07-24 20:45:07,Mall,Sedan,5,6.63,28.1,Wallet,276.4
TRP100218,2024-09-01 01:47:55,Airport,SUV,2,5.34,13.7,UPI,427.65
TRP104954,2024-07-22 20:49:04,Residential,Sedan,2,8.21,24.9,Cash,284.39
TRP105038,2024-03-30 02:39:37,Railway Station,Sedan,1,2.6,8.7,Cash,203.14
TRP110499,2024-01-22 10:25:27,Suburb,Mini,1,2.98,20.9,UPI,152.04
TRP103094,2025-02-14 11:20:03,Airport,Sedan,1,3.81,15.5,Cash,229.18
TRP103355,2024-01-31 23:10:57,Business District,Auto,0,3.12,11.7,Cash,134.28
TRP106510,2024-02-25 09:12:17,Mall,Sedan,1,2.4,16.7,Card,143.83
TRP106858,2024-11-03 03:22:06,Suburb,Mini,2,12.39,31.9,Wallet,334.68
TRP109253,2024-07-18 17:16:40,Suburb,Mini,1,7.92,30.4,UPI,225.52
TRP110148,2024-03-22 15:12:06,Residential,Sedan,5,6.34,16.2,Cash,215.95
TRP100149,2024-02-01 19:59:56,Business District,Mini,1,4.39,22.6,Wallet,180.11
TRP108917,2024-07-14 14:38:25,Suburb,Mini,2,2.4,3.7,Card,74.27
TRP100379,2024-05-23 07:16:57,Residential,Sedan,1,9.12,22.3,Card,221.12
TRP110386,2024-08-29 21:45:12,Residential,Mini,3,17.42,79.6,Cash,369.06
TRP103946,2024-07-20 11:13:33,Mall,SUV,6,2.81,18.8,Cash,219.74
TRP102227,2024-06-07 03:25:41,Residential,SUV,1,48.0,123.2,UPI,1259.28
TRP101188,2024-11-05 07:43:49,Mall,Auto,2,5.89,18.1,Cash,79.99
TRP109683,2024-01-04 08:30:13,Residential,Mini,1,9.06,34.7,Card,264.54
TRP101793,2024-05-31 20:23:50,Residential,SUV,1,3.3,16.5,Wallet,228.8
TRP108185,2024-04-19 08:49:35,Airport,SUV,4,5.35,26.6,UPI,413.05
